Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Synthetic_high_241013_170414_v6,gpu,19,11.825,1.825,0.685,0.609,0.0
Synthetic_high_241013_170414_v7,spinnaker,9,5.389,0.83,0.674,0.61,0.0
Synthetic_high_241013_170414_v7,gpu,19,12.005,1.855,0.704,0.617,0.0
Synthetic_high_241013_170414_v8,spinnaker,9,5.835,0.861,0.677,0.619,0.0
Synthetic_high_241013_170414_v8,gpu,19,11.877,1.852,0.675,0.615,0.0
Synthetic_high_241013_170414_v9,spinnaker,9,5.518,0.95,0.675,0.6,0.0
Synthetic_high_241013_170414_v9,gpu,19,11.437,1.764,0.652,0.585,0.0
Synthetic_high_241013_170414_v10,spinnaker,9,5.73,1.167,0.663,0.587,0.0
Synthetic_high_241013_170414_v10,gpu,19,12.065,1.857,0.735,0.623,0.0
Synthetic_high_241013_171253_v1,spinnaker,9,5.696,0.904,0.703,0.618,0.0
Synthetic_high_241013_171253_v1,gpu,19,12.584,1.922,0.703,0.648,0.0
Synthetic_high_241013_171253_v2,spinnaker,9,6.182,0.881,0.728,0.645,0.0
Synthetic_high_241013_171253_v2,gpu,19,12.588,1.951,0.728,0.647,0.0
Synthetic_high_241013_171253_v3,spinnaker,9,5.83,1.137,0.699,0.627,0.0
Synthetic_high_241013_171253_v3,gpu,19,12.046,1.884,0.686,0.62,0.0
Synthetic_high_241013_171253_v4,spinnaker,9,5.814,0.928,0.794,0.656,0.0
Synthetic_high_241013_171253_v4,gpu,19,12.246,1.968,0.782,0.624,0.0
Synthetic_high_241013_171253_v5,spinnaker,9,5.804,0.865,0.713,0.645,0.0
Synthetic_high_241013_171253_v5,gpu,19,12.896,2.006,0.753,0.664,0.0
Synthetic_high_241013_171253_v6,spinnaker,9,6.084,0.908,0.746,0.633,0.0
Synthetic_high_241013_171253_v6,gpu,19,12.158,1.878,0.701,0.627,0.0
Synthetic_high_241013_171253_v7,spinnaker,9,5.845,0.799,0.681,0.613,0.0
Synthetic_high_241013_171253_v7,gpu,19,12.6,1.929,0.734,0.644,0.0
Synthetic_high_241013_171253_v8,spinnaker,10,7.413,2.126,0.769,0.628,0.0
Synthetic_high_241013_171253_v8,gpu,19,12.115,1.926,0.71,0.625,0.0
Synthetic_high_241013_171253_v9,spinnaker,9,6.005,1.137,0.715,0.648,0.0
Synthetic_high_241013_171253_v9,gpu,19,12.269,1.919,0.704,0.634,0.0
Synthetic_high_241013_171253_v10,spinnaker,8,5.789,0.901,0.725,0.659,0.0
Synthetic_high_241013_171253_v10,gpu,19,12.4,1.932,0.726,0.637,0.0
Synthetic_high_241013_172129_v1,spinnaker,9,8.735,3.09,0.78,0.692,0.0
Synthetic_high_241013_172129_v1,gpu,19,13.362,2.1,0.76,0.679,0.0
Synthetic_high_241013_172129_v2,spinnaker,9,6.233,0.957,0.769,0.658,0.0
Synthetic_high_241013_172129_v2,gpu,19,13.164,2.088,0.757,0.676,0.0
Synthetic_high_241013_172129_v3,spinnaker,8,5.656,0.912,0.765,0.649,0.0
Synthetic_high_241013_172129_v3,gpu,19,12.594,2.041,0.741,0.659,0.0
Synthetic_high_241013_172129_v4,spinnaker,9,6.539,0.991,0.752,0.674,0.0
Synthetic_high_241013_172129_v4,gpu,19,13.143,2.098,0.75,0.678,0.0
Synthetic_high_241013_172129_v5,spinnaker,9,6.497,0.943,0.779,0.695,0.0
Synthetic_high_241013_172129_v5,gpu,19,13.446,2.206,0.794,0.682,0.0
Synthetic_high_241013_172129_v6,spinnaker,9,7.834,2.502,0.756,0.665,0.0035
Synthetic_high_241013_172129_v6,gpu,19,13.892,2.289,0.829,0.712,0.0
Synthetic_high_241013_172129_v7,spinnaker,9,6.377,0.984,0.756,0.682,0.0
Synthetic_high_241013_172129_v7,gpu,19,13.167,2.113,0.779,0.675,0.0
Synthetic_high_241013_172129_v8,spinnaker,9,6.502,0.961,0.748,0.66,0.0
Synthetic_high_241013_172129_v8,gpu,19,13.161,2.162,0.751,0.666,0.0
Synthetic_high_241013_172129_v9,spinnaker,9,6.265,1.093,0.75,0.674,0.0
Synthetic_high_241013_172129_v9,gpu,19,13.38,2.266,0.778,0.689,0.0
Synthetic_high_241013_172129_v10,spinnaker,9,6.213,1.198,0.704,0.639,0.0
Synthetic_high_241013_172129_v10,gpu,19,12.892,2.066,0.747,0.669,0.0
Synthetic_high_241013_173011_v1,spinnaker,9,7.185,1.674,0.824,0.703,0.0
Synthetic_high_241013_173011_v1,gpu,19,14.111,2.489,0.846,0.718,0.0
Synthetic_high_241013_173011_v2,spinnaker,9,6.668,0.996,0.771,0.692,0.0
Synthetic_high_241013_173011_v2,gpu,19,14.439,2.369,0.807,0.726,0.0
Synthetic_high_241013_173011_v3,spinnaker,9,6.796,1.158,0.809,0.709,0.0
Synthetic_high_241013_173011_v3,gpu,19,13.766,2.246,0.785,0.697,0.0
Synthetic_high_241013_173011_v4,spinnaker,9,7.199,1.396,0.792,0.712,0.0
Synthetic_high_241013_173011_v4,gpu,19,13.761,2.366,0.877,0.713,0.0
Synthetic_high_241013_173011_v5,spinnaker,9,6.346,1.139,0.804,0.685,0.0
Synthetic_high_241013_173011_v5,gpu,19,13.907,2.379,0.806,0.705,0.0
Synthetic_high_241013_173011_v6,spinnaker,9,6.559,1.07,0.782,0.681,0.0
Synthetic_high_241013_173011_v6,gpu,20,15.459,3.037,0.886,0.755,0.0
Synthetic_high_241013_173011_v7,spinnaker,9,6.885,1.087,0.809,0.715,0.0
Synthetic_high_241013_173011_v7,gpu,19,13.328,2.14,0.766,0.687,0.0
Synthetic_high_241013_173011_v8,spinnaker,10,7.062,1.344,0.773,0.675,0.0
Synthetic_high_241013_173011_v8,gpu,19,14.004,2.471,0.788,0.712,0.0
Synthetic_high_241013_173011_v9,spinnaker,9,9.001,3.457,0.78,0.681,0.0
Synthetic_high_241013_173011_v9,gpu,19,14.09,2.417,0.862,0.715,0.0
Synthetic_high_241013_173011_v10,spinnaker,9,6.793,1.07,0.801,0.725,0.0
Synthetic_high_241013_173011_v10,gpu,19,13.988,2.365,0.8,0.712,0.0
Synthetic_medium_241013_181545_v1,spinnaker,10,2.101,0.796,0.194,0.179,0.0075
Synthetic_medium_241013_181545_v1,gpu,19,3.368,0.764,0.192,0.178,0.0
Synthetic_medium_241013_181545_v2,spinnaker,9,1.795,0.832,0.187,0.173,0.0095
Synthetic_medium_241013_181545_v2,gpu,18,3.123,0.773,0.187,0.172,0.0
Synthetic_medium_241013_181545_v3,spinnaker,9,2.556,1.553,0.184,0.17,0.0645
Synthetic_medium_241013_181545_v3,gpu,19,3.277,0.762,0.193,0.177,0.0
Synthetic_medium_241013_181545_v4,spinnaker,9,1.845,0.727,0.199,0.177,0.0115
Synthetic_medium_241013_181545_v4,gpu,18,3.243,0.811,0.19,0.178,0.0
Synthetic_medium_241013_181545_v5,spinnaker,9,1.802,0.65,0.189,0.175,0.0075
Synthetic_medium_241013_181545_v5,gpu,19,3.275,0.734,0.191,0.173,0.0
Synthetic_medium_241013_181545_v6,spinnaker,10,1.965,0.796,0.187,0.172,0.0105
Synthetic_medium_241013_181545_v6,gpu,19,3.343,0.782,0.201,0.179,0.0
Synthetic_medium_241013_181545_v7,spinnaker,9,1.94,0.803,0.199,0.173,0.007
Synthetic_medium_241013_181545_v7,gpu,19,3.354,0.753,0.199,0.177,0.0
Synthetic_medium_241013_181545_v8,spinnaker,10,2.35,1.271,0.188,0.171,0.0305
Synthetic_medium_241013_181545_v8,gpu,19,3.521,0.797,0.213,0.186,0.0
Synthetic_medium_241013_181545_v9,spinnaker,10,1.946,0.737,0.198,0.178,0.006
Synthetic_medium_241013_181545_v9,gpu,19,3.32,0.756,0.186,0.173,0.0
Synthetic_medium_241013_181545_v10,spinnaker,9,1.913,0.828,0.187,0.173,0.0075
Synthetic_medium_241013_181545_v10,gpu,18,3.223,0.784,0.197,0.176,0.0
Synthetic_medium_241013_182427_v1,spinnaker,10,2.111,0.797,0.202,0.188,0.002
Synthetic_medium_241013_182427_v1,gpu,19,3.478,0.764,0.205,0.184,0.0
Synthetic_medium_241013_182427_v2,spinnaker,9,1.837,0.661,0.201,0.187,0.002
Synthetic_medium_241013_182427_v2,gpu,19,3.566,0.753,0.212,0.19,0.0
Synthetic_medium_241013_182427_v3,spinnaker,10,2.098,0.79,0.212,0.188,0.0055
Synthetic_medium_241013_182427_v3,gpu,19,3.388,0.729,0.209,0.181,0.0
Synthetic_medium_241013_182427_v4,spinnaker,10,2.167,0.948,0.199,0.181,0.0065
Synthetic_medium_241013_182427_v4,gpu,19,3.682,0.747,0.213,0.193,0.0
Synthetic_medium_241013_182427_v5,spinnaker,9,1.977,0.666,0.213,0.191,0.001
Synthetic_medium_241013_182427_v5,gpu,19,3.61,0.776,0.204,0.19,0.0
Synthetic_medium_241013_182427_v6,spinnaker,9,1.959,0.652,0.217,0.198,0.0
Synthetic_medium_241013_182427_v6,gpu,19,3.761,0.772,0.208,0.193,0.0
Synthetic_medium_241013_182427_v7,spinnaker,10,2.15,0.802,0.21,0.195,0.003
Synthetic_medium_241013_182427_v7,gpu,19,3.602,0.758,0.205,0.19,0.0
Synthetic_medium_241013_182427_v8,spinnaker,9,2.145,0.865,0.204,0.187,0.009
Synthetic_medium_241013_182427_v8,gpu,19,3.616,0.806,0.208,0.193,0.0
Synthetic_medium_241013_182427_v9,spinnaker,10,2.748,1.403,0.21,0.19,0.0355
Synthetic_medium_241013_182427_v9,gpu,19,3.672,0.748,0.217,0.192,0.0
Synthetic_medium_241013_182427_v10,spinnaker,9,1.903,0.658,0.211,0.19,0.0
Synthetic_medium_241013_182427_v10,gpu,19,3.576,0.821,0.202,0.188,0.0
Synthetic_medium_241013_183306_v1,spinnaker,10,2.485,0.984,0.213,0.199,0.0195
Synthetic_medium_241013_183306_v1,gpu,19,3.874,0.817,0.239,0.205,0.0
Synthetic_medium_241013_183306_v2,spinnaker,9,2.145,0.803,0.22,0.202,0.0075
Synthetic_medium_241013_183306_v2,gpu,19,3.712,0.775,0.22,0.197,0.0
Synthetic_medium_241013_183306_v3,spinnaker,9,2.396,1.149,0.218,0.202,0.0195
Synthetic_medium_241013_183306_v3,gpu,19,3.734,0.82,0.214,0.2,0.0
Synthetic_medium_241013_183306_v4,spinnaker,9,2.406,0.976,0.224,0.201,0.0125
Synthetic_medium_241013_183306_v4,gpu,19,3.879,0.816,0.236,0.202,0.0
Synthetic_medium_241013_183306_v5,spinnaker,9,2.558,1.166,0.216,0.201,0.032
Synthetic_medium_241013_183306_v5,gpu,19,3.742,0.79,0.216,0.198,0.0
Synthetic_medium_241013_183306_v6,spinnaker,10,2.302,0.926,0.218,0.201,0.0035
Synthetic_medium_241013_183306_v6,gpu,19,3.745,0.804,0.213,0.197,0.0
Synthetic_medium_241013_183306_v7,spinnaker,9,2.126,0.773,0.219,0.203,0.0035
Synthetic_medium_241013_183306_v7,gpu,19,3.838,0.81,0.225,0.204,0.0
Synthetic_medium_241013_183306_v8,spinnaker,9,2.599,1.245,0.218,0.201,0.029
Synthetic_medium_241013_183306_v8,gpu,18,3.723,0.804,0.215,0.2,0.0
Synthetic_medium_241013_183306_v9,spinnaker,9,2.11,0.813,0.209,0.192,0.0085
