Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Recording_mixed_241029_180739_v5,gpu,21,3.325,1.51,1.113,0.13,0.2145
Recording_mixed_241029_181458_v1,spinnaker,13,8.449,6.868,1.302,0.232,0.2175
Recording_mixed_241029_181458_v1,gpu,21,10.653,7.48,1.296,0.232,0.218
Recording_mixed_241029_181458_v2,spinnaker,12,7.899,6.42,1.296,0.232,0.1955
Recording_mixed_241029_181458_v2,gpu,21,9.599,6.294,1.302,0.232,0.195
Recording_mixed_241029_181458_v3,spinnaker,11,7.896,6.481,1.296,0.232,0.2
Recording_mixed_241029_181458_v3,gpu,21,10.616,7.372,1.302,0.232,0.2155
Recording_mixed_241029_181458_v4,spinnaker,11,7.995,6.554,1.302,0.232,0.201
Recording_mixed_241029_181458_v4,gpu,21,10.686,7.484,1.296,0.232,0.219
Recording_mixed_241029_181458_v5,spinnaker,12,7.905,6.408,1.296,0.232,0.2025
Recording_mixed_241029_181458_v5,gpu,21,9.994,6.694,1.302,0.233,0.1965
Recording_mixed_241029_181756_v1,spinnaker,11,4.85,3.415,0.894,0.22,0.19
Recording_mixed_241029_181756_v1,gpu,20,4.943,1.743,0.896,0.22,0.1135
Recording_mixed_241029_181756_v2,spinnaker,11,4.513,3.03,0.893,0.22,0.1615
Recording_mixed_241029_181756_v2,gpu,19,5.161,1.97,0.937,0.22,0.123
Recording_mixed_241029_181756_v3,spinnaker,10,4.354,2.976,0.893,0.22,0.157
Recording_mixed_241029_181756_v3,gpu,20,5.296,2.085,0.919,0.22,0.1225
Recording_mixed_241029_181756_v4,spinnaker,10,4.257,2.834,0.937,0.22,0.1555
Recording_mixed_241029_181756_v4,gpu,20,7.657,4.168,0.938,0.22,0.1515
Recording_mixed_241029_181756_v5,spinnaker,10,4.66,3.341,0.894,0.22,0.1875
Recording_mixed_241029_181756_v5,gpu,19,5.168,1.962,0.893,0.22,0.1215
Recording_mixed_241029_181748_v1,spinnaker,10,4.449,3.069,0.467,0.214,0.236
Recording_mixed_241029_181748_v1,gpu,21,5.882,2.732,0.468,0.214,0.239
Recording_mixed_241029_181748_v2,spinnaker,10,6.373,4.981,0.466,0.214,0.264
Recording_mixed_241029_181748_v2,gpu,20,6.2,3.148,0.468,0.214,0.2495
Recording_mixed_241029_181748_v3,spinnaker,10,4.53,3.159,0.469,0.216,0.238
